,content_descriptors,game_name,platforms,rating
1,No Descriptors,FIFA 16,"PlayStation 3, Xbox 360",E
0,Mild Cartoon Violence,Wii Party U,Wii U,E
1,Mild Cartoon Violence,Wii Party,Wii,E
0,"Blood and Gore, Language, Violence",Halo 2: Anniversary,Windows PC,M
1,"Blood and Gore, Language, Partial Nudity, Violence",Halo 2 for Windows Vista,Windows PC,M
0,Mild Cartoon Violence,Mario Party 8,Wii,E
0,No Descriptors,FIFA Soccer 13,Wii U,E
1,No Descriptors,FIFA Soccer 13,Xbox 360,E
2,No Descriptors,FIFA Soccer 13,PSP,E
3,No Descriptors,FIFA Soccer 13,Wii,E
4,No Descriptors,FIFA Soccer 13,PlayStation 2,E
5,No Descriptors,FIFA Soccer 13,"Windows PC, PlayStation 3",E
6,No Descriptors,FIFA Soccer 13,PS Vita,E
7,No Descriptors,FIFA Soccer 13,Nintendo 3DS,E
0,"Crude Humor, Sexual Themes, Violence",The Sims™ 3 Into the Future,"Macintosh, Windows PC",T
1,"Crude Humor, Sexual Themes, Violence",The Sims™ 3 Movie Stuff,"Macintosh, Windows PC",T
2,"Crude Humor, Sexual Themes, Violence",The Sims 3 Dragon Valley,"Macintosh, Windows PC",T
3,"Crude Humor, Sexual Themes, Violence",The Sims™ 3 Island Paradise,"Macintosh, Windows PC",T
4,"Crude Humor, Sexual Themes, Violence",The Sims™ 3 University Life,"Macintosh, Windows PC",T
5,"Crude Humor, Sexual Themes, Violence",The Sims™ 3 Monte Vista,"Macintosh, Windows PC",T
6,"Crude Humor, Sexual Themes, Violence","The Sims™ 3 70s, 80s, &amp; 90s Stuff","Macintosh, Windows PC",T
7,"Crude Humor, Sexual Themes, Violence",The Sims™ 3 Seasons,"Macintosh, Windows PC",T
8,"Crude Humor, Sexual Themes, Violence",The Sims™ 3 Supernatural,"Macintosh, Windows PC",T
9,"Crude Humor, Sexual Themes, Violence",The Sims™ 3 Diesel Stuff,"Macintosh, Windows PC",T
